Company,Type,Weight_gr,BC_G1,Velocity_FPS,Length_in
Hornady,V-MAX 55gr,55,0.255,3240,0.735
Hornady,ELD Match 73gr,73,0.398,2790,1.05
Hornady,BTHP 68gr,68,0.355,2960,0.98
Hornady,Superformance 53gr,53,0.29,3465,0.83
Federal,American Eagle 55gr,55,0.269,3240,0.735
Federal,Gold Medal 69gr,69,0.301,2950,0.9
Federal,Gold Medal 77gr,77,0.372,2720,0.995
Federal,Varmint & Predator 50gr,50,0.242,3300,0.7
Winchester,Varmint X 40gr,40,0.211,3100,0.65
Winchester,M855 Green Tip 62gr,62,0.304,3060,0.91
Winchester,Ballistic Silvertip 55gr,55,0.267,3240,0.81
Remington,UMC FMJ 55gr,55,0.202,3240,0.735
Remington,Core-Lokt 62gr,62,0.264,3100,0.85
Sierra,MatchKing 69gr,69,0.301,3000,0.9
Sierra,MatchKing 77gr,77,0.372,2720,0.995
Nosler,Varmageddon 55gr,55,0.255,3200,0.735
Nosler,Custom Competition 69gr,69,0.305,3000,0.91
Barnes,VOR-TX TSX 55gr,55,0.209,3240,0.91
Barnes,Varmint Grenade 36gr,36,0.149,3750,0.62
Lapua,Scenar 69gr,69,0.341,2850,0.94
Lapua,FMJ 55gr,55,0.235,3150,0.735
PMC,Bronze FMJ 55gr,55,0.243,3240,0.735
PMC,X-Tac 62gr,62,0.304,3100,0.91
Sellier & Bellot,FMJ 55gr,55,0.235,3200,0.735
Fiocchi,V-MAX 50gr,50,0.242,3300,0.7
Norma,Tactical 77gr,77,0.372,2750,0.995
Black Hills,Match BTHP 77gr,77,0.372,2750,0.995
Federal,Terminal Ascent 62gr,62,0.282,3025,0.94
Hornady,Frontier FMJ 55gr,55,0.243,3240,0.735
Speer,Gold Dot Duty 75gr,75,0.4,2775,1.01
Winchester,Deer Season XP 64gr,64,0.25,3020,0.86
Sig Sauer,Elite Match Grade 77gr,77,0.374,2750,0.995
PPU,Match HP 75gr,75,0.35,2720,0.985
Berger,Target Varmint 55gr,55,0.247,3210,0.81
Black Hills,HoneyBadger 60gr,60,0.188,2900,0.84
IMI Systems,Razor Core 77gr,77,0.372,2740,0.995
Swift,Scirocco II 75gr,75,0.419,2760,1.08
